PERMNO,date,TICKER,COMNAM,DLPRC,DLRET,BIDLO,ASKHI,PRC,VOL,RET,SHROUT
10104,20060731,ORCL,ORACLE CORP,,,14.1,15.12,14.97,7933511,0.033126,5238329
10104,20060831,ORCL,ORACLE CORP,,,14.62,15.81,15.66,8166519,0.046092,5185000
10104,20060929,ORCL,ORACLE CORP,,,15.5,18.19,17.74,11750943,0.132822,5195474
10104,20061031,ORCL,ORACLE CORP,,,17.66,19.15,18.47,7834295,0.04115,5195474
10104,20061130,ORCL,ORACLE CORP,,,17.78,19.66,19.05,6191134,0.031402,5178000
10104,20061229,ORCL,ORACLE CORP,,,17.1,19.28,17.14,9402761,-0.100262,5182191
10104,20070131,ORCL,ORACLE CORP,,,16.98,17.86,17.16,7852907,0.001167,5182191
10104,20070228,ORCL,ORACLE CORP,,,16.29,17.42,16.43,7234361,-0.042541,5136000
10104,20070330,ORCL,ORACLE CORP,,,16.37,18.49,18.13,8725634,0.103469,5140863
10104,20070430,ORCL,ORACLE CORP,,,18.14,19.1,18.8,5216016,0.036955,5140863
10104,20070531,ORCL,ORACLE CORP,,,18.49,19.42,19.38,5305336,0.030851,5107000
10104,20070629,ORCL,ORACLE CORP,,,18.7301,19.88,19.71,7480290,0.017028,5113036
10104,20070731,ORCL,ORACLE CORP,,,19.12,20.78,19.12,6301202,-0.029934,5113036
10104,20070831,ORCL,ORACLE CORP,,,19.11,20.28,20.28,6893081,0.060669,5117000
10104,20070928,ORCL,ORACLE CORP,,,20.02,21.975,21.65,6536844,0.067554,5121310
10104,20071031,ORCL,ORACLE CORP,,,20.75,22.92,22.17,7113109,0.024018,5121310
10104,20071130,ORCL,ORACLE CORP,,,19.36,22.83,20.18,8529300,-0.089761,5128000
10104,20071231,ORCL,ORACLE CORP,,,20.03,23.04,22.58,7317710,0.11893,5136588
10104,20080131,ORCL,ORACLE CORP,,,20.07,23.11,20.55,9888213,-0.089903,5136588
10104,20080229,ORCL,ORACLE CORP,,,18.8,20.68,18.8,8647170,-0.085158,5149000
10104,20080331,ORCL,ORACLE CORP,,,18.44,21.08,19.56,10274542,0.040426,5151525
10104,20080430,ORCL,ORACLE CORP,,,19.84,22.01,20.85,7545376,0.065951,5151525
10104,20080530,ORCL,ORACLE CORP,,,20.99,22.84,22.84,6041238,0.095444,5150000
10104,20080630,ORCL,ORACLE CORP,,,21,23.18,21,7863048,-0.08056,5155842
10104,20080731,ORCL,ORACLE CORP,,,20.25,21.59,21.53,7468564,0.025238,5155842
10104,20080829,ORCL,ORACLE CORP,,,21.25,23.52,21.93,5934416,0.018579,5154000
10104,20080930,ORCL,ORACLE CORP,,,18.1,21.55,20.31,11197326,-0.073871,5154458
10104,20081031,ORCL,ORACLE CORP,,,15.77,19.86,18.29,13493636,-0.099458,5154458
10104,20081128,ORCL,ORACLE CORP,,,15.4,18.9,16.09,9381590,-0.120284,5046000
10104,20081231,ORCL,ORACLE CORP,,,15.44,17.83,17.73,8833287,0.101927,5046177
10104,20090130,ORCL,ORACLE CORP,,,16.1,18.41,16.83,6931948,-0.050761,5046177
10104,20090227,ORCL,ORACLE CORP,,,15.54,18.05,15.54,6744462,-0.076649,4983000
10104,20090331,ORCL,ORACLE CORP,,,13.85,18.68,18.07,10946045,0.162806,4983414
10104,20090430,ORCL,ORACLE CORP,,,18.54,19.79,19.34,7845231,0.073049,4983414
10104,20090529,ORCL,ORACLE CORP,,,18.07,19.59,19.59,6083355,0.012927,5005000
10104,20090630,ORCL,ORACLE CORP,,,19.69,21.63,21.42,8168572,0.093415,5007230
10104,20090731,ORCL,ORACLE CORP,,,20.18,22.33,22.13,6422062,0.035481,5007230
10104,20090831,ORCL,ORACLE CORP,,,21.21,22.32,21.88,5265281,-0.011297,5012000
10104,20090930,ORCL,ORACLE CORP,,,20.84,22.86,20.84,7714195,-0.047532,5013168
10104,20091030,ORCL,ORACLE CORP,,,20.34,22.42,21.1,8219078,0.014875,5013168
10104,20091130,ORCL,ORACLE CORP,,,20.89,22.83,22.08,4689290,0.046445,5009000
10104,20091231,ORCL,ORACLE CORP,,,21.91,25.01,24.53,6023561,0.11096,5011220
10104,20100129,ORCL,ORACLE CORP,,,23.06,25.34,23.06,6068156,-0.057888,5011220
