PERMNO,Names Date,Date In Useful Format,,Trading Symbol,Helper Column,Delisting Return,Price or Bid/Ask Average,Value-Weighted Return-incl. dividends,Value-Weighted Return-excl. dividends,Equal-Weighted Return-incl. dividends,Equal-Weighted Return-excl. dividends,Return on the S&P 500 Index,,,SP500
24643,1/31/07,Jan2007,Jan2007,AA,AAJan2007,,32.3,0.019397,0.018461,0.022283,0.021357,0.014059,0,,0.008224
24643,2/28/07,Feb2007,Feb2007,AA,AAFeb2007,,33.41,-0.013988,-0.015979,0.002111,0.000857,-0.021846,0,,0.023957
24643,3/30/07,Mar2007,Mar2007,AA,AAMar2007,,33.9,0.01295,0.011475,0.006545,0.004805,0.00998,0,,-0.003435
24643,4/30/07,Apr2007,Apr2007,AA,AAApr2007,,35.49,0.039815,0.038449,0.027044,0.025768,0.043291,0,,-0.016247
24643,5/31/07,May2007,May2007,AA,AAMay2007,,41.28,0.038932,0.036643,0.023123,0.021362,0.032549,0,,-0.009426
24643,6/29/07,Jun2007,Jun2007,AA,AAJun2007,,40.53,-0.014765,-0.016128,-0.007907,-0.009857,-0.017816,0,,0.009909
24643,7/31/07,Jul2007,Jul2007,AA,AAJul2007,,38.2,-0.03176,-0.032764,-0.043537,-0.044642,-0.031982,0,,-0.011555
24643,8/31/07,Aug2007,Aug2007,AA,AAAug2007,,36.53,0.01163,0.009677,-0.011712,-0.013287,0.012864,0,,-0.024576
24643,9/28/07,Sep2007,Sep2007,AA,AASep2007,,39.12,0.040842,0.039325,0.025364,0.023661,0.035794,0,,-0.01043
24643,10/31/07,Oct2007,Oct2007,AA,AAOct2007,,39.59,0.025796,0.024655,0.017406,0.016144,0.014822,0,,0.002584
24643,11/30/07,Nov2007,Nov2007,AA,AANov2007,,36.37,-0.049327,-0.051276,-0.076617,-0.078118,-0.044043,0,,-0.032574
24643,12/31/07,Dec2007,Dec2007,AA,AADec2007,,36.55,-0.004423,-0.006511,-0.010989,-0.014282,-0.008628,0,,-0.002361
24643,1/31/08,Jan2008,Jan2008,AA,AAJan2008,,33.09,-0.062138,-0.063243,-0.045066,-0.04616,-0.061163,0,,0.016097
24643,2/29/08,Feb2008,Feb2008,AA,AAFeb2008,,37.14,-0.021663,-0.023605,-0.021401,-0.022916,-0.034761,0,,0.01336
24643,3/31/08,Mar2008,Mar2008,AA,AAMar2008,,36.06,-0.010421,-0.01216,-0.025309,-0.027567,-0.00596,0,,-0.019349
24643,4/30/08,Apr2008,Apr2008,AA,AAApr2008,,34.78,0.05106,0.049736,0.031907,0.03049,0.047547,0,,-0.01564
24643,5/30/08,May2008,May2008,AA,AAMay2008,,40.59,0.023808,0.021494,0.031787,0.029774,0.010674,0,,0.021113
