dateff,mktrf,smb,hml,rf,umd
20060731,-0.007800,-0.040800,0.029400,0.00400,-0.022100
20060831,0.020300,0.009000,-0.017200,0.00420,-0.034700
20060929,0.018400,-0.013700,0.000500,0.00410,-0.009400
20061031,0.032300,0.017300,-0.000400,0.00410,-0.002400
20061130,0.017100,0.008600,0.000700,0.00420,-0.010100
20061229,0.008700,-0.011000,0.031600,0.00400,0.008400
20070131,0.014000,0.001000,-0.001100,0.00440,0.002100
20070228,-0.019600,0.013200,-0.000900,0.00380,-0.013500
20070330,0.006800,-0.000600,-0.002200,0.00430,0.024700
20070430,0.034900,-0.020600,-0.011500,0.00440,-0.001600
20070531,0.032400,0.000300,-0.000500,0.00410,-0.002600
20070629,-0.019600,0.007700,-0.011300,0.00400,0.003800
20070731,-0.037300,-0.025100,-0.033400,0.00400,0.028000
20070831,0.009200,-0.001300,-0.022400,0.00420,0.001100
20070928,0.032200,-0.022900,-0.018700,0.00320,0.045900
20071031,0.018000,0.002200,-0.025900,0.00320,0.049600
20071130,-0.048300,-0.026300,-0.011800,0.00340,0.009300
20071231,-0.008700,0.002000,-0.005200,0.00270,0.065200
20080131,-0.063600,-0.008900,0.036500,0.00210,-0.078900
20080229,-0.030900,-0.002300,-0.009500,0.00130,0.061400
20080331,-0.009300,0.009400,-0.001500,0.00170,0.041000
20080430,0.046000,-0.016400,-0.009600,0.00180,-0.002000
20080530,0.018600,0.032200,-0.013800,0.00180,0.032100
20080630,-0.084400,0.012700,-0.024300,0.00170,0.125400
20080731,-0.007700,0.024700,0.058100,0.00150,-0.051500
20080829,0.015300,0.036100,0.015600,0.00130,-0.040500
20080930,-0.092400,-0.011300,0.063300,0.00150,0.003500
20081031,-0.172300,-0.023400,-0.029000,0.00080,0.077900
20081128,-0.078600,-0.029900,-0.059400,0.00030,0.071100
20081231,0.017400,0.035900,-0.002400,0.00000,-0.050700
20090130,-0.081200,-0.000100,-0.111000,0.00000,-0.018300
20090227,-0.101000,0.001600,-0.072500,0.00010,0.041800
20090331,0.089500,-0.000800,0.035200,0.00020,-0.113800
20090430,0.101900,0.048300,0.054600,0.00010,-0.343900
20090529,0.052100,-0.023300,-0.002100,0.00000,-0.124400
20090630,0.004300,0.026100,-0.027100,0.00010,0.052900
20090731,0.077200,0.020700,0.052700,0.00010,-0.053600
20090831,0.033300,-0.009000,0.077600,0.00010,-0.088400
20090930,0.040800,0.024500,0.009200,0.00010,-0.049300
20091030,-0.025900,-0.042300,-0.041800,0.00000,0.026500
20091130,0.055600,-0.024900,-0.001700,0.00000,0.002900
20091231,0.027500,0.061100,0.000100,0.00010,0.029100
20100129,-0.033600,0.003800,0.003100,0.00000,-0.053800
20100226,0.034000,0.012100,0.031700,0.00000,0.036000
20100331,0.063100,0.014300,0.021000,0.00010,0.036600
20100430,0.020000,0.049800,0.028100,0.00010,0.032200
20100528,-0.078900,0.000500,-0.023800,0.00010,-0.001300
20100630,-0.055600,-0.019800,-0.045000,0.00010,-0.030000
20100730,0.069300,0.001700,-0.002600,0.00010,0.018800
20100831,-0.047700,-0.030000,-0.019600,0.00010,-0.001900
20100930,0.095400,0.039200,-0.031200,0.00010,0.013500
20101029,0.038800,0.011400,-0.025900,0.00010,0.016400
20101130,0.006000,0.037100,-0.009000,0.00010,0.025300
20101231,0.068200,0.006900,0.038200,0.00010,-0.031900
20110131,0.019900,-0.024600,0.008300,0.00010,-0.003200
20110228,0.034900,0.015200,0.010800,0.00010,0.020300
20110331,0.004500,0.026000,-0.015700,0.00010,0.035100
20110429,0.029000,-0.003500,-0.025300,0.00000,0.000700
20110531,-0.012700,-0.007100,-0.020700,0.00000,-0.005600
20110630,-0.017500,-0.001700,-0.003300,0.00000,0.017800
20110729,-0.023600,-0.013000,-0.012300,0.00000,0.000800
20110831,-0.059900,-0.030600,-0.024400,0.00010,-0.003100
20110930,-0.075900,-0.034900,-0.014600,0.00000,-0.025500
20111031,0.113500,0.034100,-0.001700,0.00000,-0.014200
20111130,-0.002800,-0.001700,-0.003400,0.00000,0.039900
20111230,0.007400,-0.007100,0.017500,0.00000,0.019400
20120131,0.050500,0.021500,-0.011100,0.00000,-0.079700
20120229,0.044200,-0.017500,0.000900,0.00000,-0.003000
20120330,0.031100,-0.006000,0.008700,0.00000,0.015000
20120430,-0.008500,-0.005100,-0.004600,0.00000,0.038300
20120531,-0.061900,0.000200,-0.006200,0.00010,0.066000
20120629,0.038900,0.007700,0.004400,0.00000,-0.011200
20120731,0.007900,-0.025900,-0.002600,0.00000,0.030700
20120831,0.025500,0.004200,0.013200,0.00010,-0.024900
20120928,0.027300,0.005100,0.015400,0.00010,-0.010200
20121031,-0.017600,-0.011400,0.037900,0.00010,0.001000
20121130,0.007800,0.005800,-0.009600,0.00010,0.003800
20121231,0.011800,0.014700,0.035600,0.00010,-0.029700
20130131,0.055700,0.003900,0.009500,0.00000,-0.018800
20130228,0.012900,-0.004500,0.000300,0.00000,0.013100
20130328,0.040300,0.007800,-0.002900,0.00000,0.019400
20130430,0.015500,-0.024200,0.006300,0.00000,0.002500
20130531,0.028000,0.016700,0.026000,0.00000,-0.018000
20130628,-0.012000,0.012200,-0.001800,0.00000,0.005900
20130731,0.056500,0.018600,0.005600,0.00000,0.017400
20130830,-0.027100,0.003000,-0.027800,0.00000,0.000500
20130930,0.037700,0.029300,-0.011900,0.00000,0.029700
20131031,0.041800,-0.014900,0.011400,0.00000,0.001600
20131129,0.031200,0.012400,0.002400,0.00000,0.004000
20131231,0.028100,-0.005000,-0.003100,0.00000,0.000700
20140131,-0.033200,0.008600,-0.020900,0.00000,0.017200
20140228,0.046500,0.003200,-0.004000,0.00000,0.020800
20140331,0.004300,-0.018900,0.050800,0.00000,-0.033000
20140430,-0.001900,-0.042500,0.011400,0.00000,-0.038500
20140530,0.020600,-0.018500,-0.002700,0.00000,0.011500
20140630,0.026100,0.030700,-0.007400,0.00000,0.006800
20140731,-0.020400,-0.042400,0.000100,0.00000,-0.002400
20140829,0.042400,0.003600,-0.005800,0.00000,0.008200
20140930,-0.019700,-0.038300,-0.012300,0.00000,0.005300
20141031,0.025200,0.042300,-0.016800,0.00000,0.000000
20141128,0.025500,-0.020900,-0.029900,0.00000,0.010500
20141231,-0.000600,0.025400,0.020600,0.00000,0.010600
20150130,-0.031100,-0.005600,-0.034700,0.00000,0.038700
20150227,0.061300,0.004800,-0.017900,0.00000,-0.028400
20150331,-0.011200,0.030200,-0.004600,0.00000,0.029800
20150430,0.005900,-0.029700,0.018600,0.00000,-0.073700
20150529,0.013600,0.008700,-0.013700,0.00000,0.060100
20150630,-0.015300,0.028300,-0.007900,0.00000,0.030400
20150731,0.015400,-0.041400,-0.041200,0.00000,0.102800
20150831,-0.060400,0.004800,0.026800,0.00000,-0.020700
20150930,-0.030800,-0.026400,0.005200,0.00000,0.053200
20151030,0.077500,-0.019700,-0.000800,0.00000,-0.039700
20151130,0.005600,0.036400,-0.005200,0.00000,0.022800
20151231,-0.021700,-0.028200,-0.025800,0.00010,0.034400
20160129,-0.057700,-0.033600,0.021000,0.00010,0.013700
20160229,-0.000700,0.007800,-0.004800,0.00020,-0.040900
20160331,0.069600,0.008700,0.011200,0.00020,-0.051400
20160429,0.009200,0.006800,0.032600,0.00010,-0.062300
20160531,0.017800,-0.002600,-0.018100,0.00010,0.019400
20160630,-0.000500,0.006500,-0.014900,0.00020,0.042100
