date,alpha,lambda1,lambda2
20060731,0.04809634,-0.048771282,0.003076913
20060831,0.008794826,0.002941845,0.003637605
20060929,0.029232892,-0.0014871,-0.00104155
20061031,0.036945811,0.00340869,-0.000712246
20061130,-0.011391179,0.023029371,0.001272074
20061229,-0.009998736,0.007327939,0.003912495
20070131,0.009124979,0.0036885,0.001159186
20070228,-0.027821082,-0.001027969,0.006771408
20070330,-0.010229412,-0.002571059,0.011228018
20070430,0.072086714,-0.013493193,-0.005488983
20070531,0.017042389,0.019862927,-0.002706451
20070629,-0.049630083,0.012017166,0.008277784
20070731,-0.021886201,-0.019521394,0.00575561
20070831,0.026258071,-0.029083602,0.008663541
20070928,0.029870593,-0.010093479,0.008551191
20071031,-0.011420106,-0.020775207,0.027354738
20071130,0.024574116,-0.054103561,0.000167686
20071231,-0.007451544,-0.018465031,0.003692203
20080131,-0.016210425,-0.019340248,-0.00865751
20080229,-0.030315818,-0.023138507,0.019657758
20080331,0.018439751,-0.021182755,0.002802765
20080430,0.030996437,0.010199769,-0.004334363
20080530,0.018076845,-0.014005263,0.002913266
20080630,-0.068929392,-0.061745945,0.035849263
20080731,0.066308207,-0.018006379,-0.021628792
20080829,0.039161599,-0.019889923,0.001090885
20080930,0.043108121,-0.11174222,-0.004593968
20081031,-0.047575345,-0.184580491,0.053247215
20081128,0.065140418,-0.10371749,-0.029699351
20081231,-0.098016824,0.06664741,0.042278019
20090130,-0.052079335,-0.090762757,0.034174678
20090227,0.038567366,-0.155583675,-0.012832639
20090331,-0.122544423,0.200240019,0.008609781
20090430,-0.235720729,0.348793203,0.0176014
20090529,0.02064694,0.046133224,0.000345552
20090630,0.049428499,-0.050777167,0.00633427
20090731,0.009137152,0.040263127,0.024440891
20090831,-0.185054758,0.263734825,-0.014339483
20090930,-0.001020342,0.023308635,0.005520193
20091030,-0.011273836,-0.026105814,0.012875575
20091130,0.071462374,-0.005242592,0.000126142
20091231,-0.006114919,0.03028641,0.001846137
20100129,0.014423183,-0.038309006,-0.002633374
20100226,-0.000128689,0.034346231,-0.003134009
20100331,0.014914075,0.045809575,-0.001328507
20100430,-0.016536193,0.025699203,0.002299947
20100528,-0.043334071,-0.031415818,-0.004948124
20100630,-0.012990714,-0.051807936,0.008988053
20100730,0.003963746,0.067974837,0.004173301
20100831,0.009035815,-0.062909995,0.00216392
20100930,0.026130005,0.052838327,0.001464855
20101029,0.038466599,0.000945057,-0.000991787
20101130,-0.026192615,0.015438866,0.00117842
20101231,-0.002943277,0.065985086,0.000540972
20110131,-0.003583388,0.022802031,0.000169931
20110228,-0.01578809,0.034525515,0.004162751
20110331,0.015390156,-0.019979739,0.004055706
20110429,0.060875242,-0.029811695,-0.00065015
20110531,0.015011397,-0.027763756,0.004363555
20110630,-0.000259007,-0.009649567,-0.001853467
20110729,0.007134033,-0.037800216,-0.001156416
20110831,0.019049755,-0.081867347,0.005496573
20110930,0.025460915,-0.094879472,0.001485632
20111031,-0.006319917,0.128352252,-0.005055909
20111130,0.039759292,-0.040472998,0.001446828
20111230,0.049558986,-0.039849439,0.001468301
20120131,-0.007859071,0.06052875,-0.003087243
20120229,0.012074743,0.021256461,-0.000620779
20120330,0.015477944,0.009893588,0.002592289
20120430,0.013213411,-0.018650536,0.000952201
20120531,-0.000208277,-0.062201186,0.002532884
20120629,0.022353909,0.003857284,0.00800884
20120731,0.028474496,-0.025307693,0.003059176
20120831,-0.044048863,0.050598113,0.004041164
20120928,0.004064106,0.011200349,0.003125264
20121031,-0.014186458,0.001816074,0.000894689
20121130,-0.019610189,0.012709227,0.005896237
20121231,-0.03140648,0.050881697,-0.001150131
20130131,0.033163559,0.029521136,0.001531229
20130228,0.050241142,-0.017689723,0.000127678
20130328,0.040577334,-0.012178353,0.01098789
20130430,0.018113233,-0.018937314,0.014461452
20130531,-0.042289275,0.059251778,-0.001846692
20130628,-0.004330781,-0.008474399,0.001647755
20130731,0.010972835,0.025989343,0.007276997
